ear,mear,no_detection,angry,happy,neutral,sad,scared,surprised,disgust,engagement
0.23176669,0.084785647,0,0,0,1,0,0,0,0,1
0.207526241,0.067138291,0,0,0,1,0,0,0,0,0
0.221076771,0.064967068,0,0,0,0,0,1,0,0,1
0.338364108,0.07678689,1,0,0,0,0,0,0,0,2
0.246398355,0.075722817,0,0,0,1,0,0,0,0,0
0.213709733,0.08656919,0,0,0,1,0,0,0,0,2
0.26504935,0.045308628,0,0,0,0,0,0,1,0,2
0.218169961,0.111288068,0,0,1,0,0,0,0,0,2
0.237827461,0.078337962,1,0,0,0,0,0,0,0,0
0.181258283,0.08205072,1,0,0,0,0,0,0,0,0
0.493094476,0.117269329,0,0,1,0,0,0,0,0,0
0.1917583,0.051778037,0,0,0,1,0,0,0,0,0
0.178144963,0.086586141,0,0,0,1,0,0,0,0,2
0.165913634,0.09462886,0,0,1,0,0,0,0,0,2
0.171290828,0.070584291,0,0,0,1,0,0,0,0,1
0.272803291,0.067912521,0,0,1,0,0,0,0,0,0
0.162112085,0.169195859,0,0,0,1,0,0,0,0,1
0.137029373,0.061167886,0,0,1,0,0,0,0,0,2
0.22170395,0.111422504,0,0,1,0,0,0,0,0,2
0.220973551,0.079516048,0,0,1,0,0,0,0,0,2
0.291553309,0.066239172,0,0,1,0,0,0,0,0,2
0.190066249,0.084462137,0,0,1,0,0,0,0,0,2
0.20985099,0.096570954,0,0,0,1,0,0,0,0,1
0.265198525,0.061676438,0,0,0,1,0,0,0,0,0
0.204903293,0.093109984,0,0,0,1,0,0,0,0,1
0.254942799,0.054440981,0,0,1,0,0,0,0,0,1
0.15586048,0.098561617,0,0,1,0,0,0,0,0,2
0.211493041,0.061025007,0,0,1,0,0,0,0,0,2
0.219195189,0.086815318,0,0,1,0,0,0,0,0,1
0.165665244,0.07967712,1,0,0,0,0,0,0,0,0
0.247734544,0.059333942,0,0,0,0,0,1,0,0,0
0.305484093,0.07812571,0,0,0,1,0,0,0,0,1
0.266965488,0.094340388,0,0,1,0,0,0,0,0,2
0.205286839,0.100660517,0,0,0,1,0,0,0,0,1
0.24753858,0.087241109,0,0,0,1,0,0,0,0,1
0.184754938,0.186440958,0,0,0,1,0,0,0,0,1
0.249122634,0.064796688,0,0,0,0,1,0,0,0,1
0.306033409,0.04650794,0,0,0,0,0,1,0,0,2
0.225748062,0.082426076,0,0,1,0,0,0,0,0,2
0.231271285,0.090488921,0,0,0,1,0,0,0,0,1
0.196425244,0.117894251,0,0,0,1,0,0,0,0,2
0.431878875,0.093101344,0,1,0,0,0,0,0,0,1
0.334041158,0.080909967,1,0,0,0,0,0,0,0,0
0.200389068,0.046936075,0,0,1,0,0,0,0,0,2
0.225676433,0.095208461,0,0,0,1,0,0,0,0,1
0.222477202,0.077041694,0,0,0,1,0,0,0,0,0
0.246560689,0.080954159,0,0,0,1,0,0,0,0,2
0.261108927,0.079946942,0,0,1,0,0,0,0,0,2
0.203075456,0.077386178,0,0,0,1,0,0,0,0,2
0.17013572,0.143415598,0,0,0,1,0,0,0,0,1
0.224715171,0.082638111,0,0,0,1,0,0,0,0,2
0.260870605,0.077570134,0,0,0,1,0,0,0,0,0
0.313578991,0.04609907,0,0,0,1,0,0,0,0,0
0.26839258,0.094845165,0,0,0,1,0,0,0,0,1
0.238343961,0.08511135,0,0,0,1,0,0,0,0,1
0.298872164,0.058137591,0,0,0,1,0,0,0,0,0
0.201895154,0.08883266,0,0,0,1,0,0,0,0,2
0.422242292,0.094612035,0,1,0,0,0,0,0,0,1
0.277093749,0.072214038,0,0,0,0,1,0,0,0,1
0.172518235,0.108855231,0,0,0,1,0,0,0,0,1
0.244008749,0.04490827,0,0,0,1,0,0,0,0,0
0.247857467,0.08297324,0,0,1,0,0,0,0,0,2
0.219678398,0.074023887,0,0,0,1,0,0,0,0,0
0.190188217,0.092875421,0,0,0,1,0,0,0,0,1
0.277520906,0.127911479,0,0,1,0,0,0,0,0,2
0.267693997,0.048393987,0,0,0,1,0,0,0,0,0
0.176978608,0.087975806,1,0,0,0,0,0,0,0,0
0.296712297,0.079769181,0,0,0,1,0,0,0,0,1
0.222400956,0.103442827,0,0,0,1,0,0,0,0,2
0.26010793,0.057692794,0,0,0,1,0,0,0,0,0
0.238852292,0.087312568,0,0,1,0,0,0,0,0,1
0.234074683,0.067941669,1,0,0,0,0,0,0,0,0
0.311304795,0.069028371,1,0,0,0,0,0,0,0,0
0.149609837,0.165468083,0,0,0,1,0,0,0,0,2
0.262959928,0.087515438,0,0,1,0,0,0,0,0,1
0.404482759,0.093399943,0,0,1,0,0,0,0,0,0
0.325057909,0.068751349,1,0,0,0,0,0,0,0,0
0.237090233,0.095439867,0,0,0,1,0,0,0,0,1
0.321797202,0.097264566,0,0,1,0,0,0,0,0,1
0.149968948,0.075824381,1,0,0,0,0,0,0,0,0
0.221949908,0.090277635,0,0,0,1,0,0,0,0,1
0.248202252,0.067114953,1,0,0,0,0,0,0,0,0
0.198182424,0.093633755,0,0,1,0,0,0,0,0,2
0.213810054,0.084648399,0,0,0,0,1,0,0,0,0
0.194756185,0.070179708,0,0,1,0,0,0,0,0,2
0.158379205,0.082474972,1,0,0,0,0,0,0,0,0
0.338123268,0.080254821,0,0,0,0,0,1,0,0,1
0.249622896,0.058446362,0,0,1,0,0,0,0,0,0
0.32899276,0.069027774,0,0,0,1,0,0,0,0,0
0.265524695,0.110773307,0,0,1,0,0,0,0,0,2
0.306232024,0.072872886,0,0,0,1,0,0,0,0,0
0.29168166,0.061489791,0,0,1,0,0,0,0,0,2
0.299559422,0.078627903,0,0,0,1,0,0,0,0,0
0.233949884,0.093167498,0,0,1,0,0,0,0,0,2
0.29780172,0.065588844,0,0,0,1,0,0,0,0,0
0.18814407,0.091965655,0,0,0,1,0,0,0,0,1
0.242554381,0.101737678,0,0,0,1,0,0,0,0,1
0.184865095,0.074650361,0,0,0,1,0,0,0,0,2
0.149413179,0.086686332,0,0,0,1,0,0,0,0,1
0.170029955,0.115138812,0,0,1,0,0,0,0,0,2
0.284402171,0.057211018,0,0,0,1,0,0,0,0,0
0.173773531,0.074146386,0,0,1,0,0,0,0,0,1
0.213430366,0.109419734,0,0,0,1,0,0,0,0,2
0.241442348,0.09922236,0,0,0,1,0,0,0,0,1
0.245212696,0.094080539,0,0,0,1,0,0,0,0,1
0.249466552,0.053292656,0,0,1,0,0,0,0,0,1
0.274715344,0.09277868,0,0,0,1,0,0,0,0,0
0.237980289,0.089929988,0,0,0,1,0,0,0,0,2
0.257264885,0.073521462,0,0,0,1,0,0,0,0,0
0.17487917,0.093429055,0,0,0,1,0,0,0,0,1
0.320394776,0.078658729,0,0,0,1,0,0,0,0,0
0.152629761,0.195885861,0,0,1,0,0,0,0,0,2
0.292763899,0.071346715,0,0,0,1,0,0,0,0,0
